,Unnamed: 0,wind_wave_alignment,lat,tp,lon,mwd,mwp,wind_dir,v10_abs,tau_v,msl,sp,v10,u10_abs,swh,station,extract_time,cluster
152,152,,48.383,0.0009980202,-4.495,,,354.13412,10.727234,0.2019643,97435.0,97206.58,10.727234,1.1020966,,1,1977-12-08 01:00:00,7
153,153,,48.383,0.00019168854,-4.495,,,32.436497,11.769455,1.6499588,97474.375,97244.36,11.769455,7.479645,,1,1978-02-25 19:00:00,4
154,154,,48.383,0.0006504059,-4.495,,,226.01955,5.1716614,-0.2282596,99291.56,99056.79,-5.1716614,5.35907,,1,1978-04-29 22:00:00,1
155,155,,48.383,3.7670135e-05,-4.495,,,112.16514,3.1974182,-0.12778354,100759.25,100522.83,-3.1974182,7.8486786,,1,1978-06-24 21:00:00,1
156,156,,48.383,0.00053215027,-4.495,,,324.398,1.0550995,0.0013392502,100572.5,100340.28,1.0550995,0.7554321,,1,1978-09-05 08:00:00,2
157,157,,48.383,5.7697296e-05,-4.495,,,320.4493,5.704254,0.24409758,100305.56,100075.66,5.704254,4.7107086,,1,1978-10-10 05:00:00,7
158,158,,48.383,0.00038051605,-4.495,,,60.334213,8.034744,1.4501956,97885.125,97656.516,8.034744,14.105972,,1,1978-12-11 19:00:00,4
159,159,,48.383,0.00022029877,-4.495,,,43.821346,8.316116,0.87895787,97341.25,97111.766,8.316116,7.9808197,,1,1979-02-13 06:00:00,3
160,160,,48.383,0.00012350082,-4.495,,,28.020157,11.096985,1.1580766,99091.69,98857.78,11.096985,5.9053802,,1,1979-04-11 12:00:00,3
161,161,,48.383,0.0013689995,-4.495,,,25.424513,8.768005,0.5102745,100624.125,100393.11,8.768005,4.1679535,,1,1979-07-30 23:00:00,3
162,162,,48.383,2.4318695e-05,-4.495,,,57.624966,3.714447,0.12872623,102038.44,101802.5,3.714447,5.858673,,1,1979-08-20 23:00:00,2
163,163,,48.383,0.0,-4.495,,,9.696748,8.271149,0.1539766,100421.81,100190.16,8.271149,1.4133301,,1,1979-10-06 23:00:00,3
164,164,,48.383,0.0011930466,-4.495,,,58.82604,8.794754,1.7905848,98205.625,97974.34,8.794754,14.536774,,1,1980-01-31 09:00:00,4
165,165,,48.383,0.00040531158,-4.495,,,73.739365,3.9739075,0.34263676,100168.69,99933.3,3.9739075,13.624451,,1,1980-02-02 07:00:00,1
166,166,,48.383,7.1525574e-06,-4.495,,,297.0765,1.7242279,0.015968556,101013.31,100779.67,1.7242279,3.3728485,,1,1980-04-14 20:00:00,2
167,167,,48.383,1.8119812e-05,-4.495,,,76.59498,1.1723022,0.010765311,101054.375,100819.03,1.1723022,4.9188995,,1,1980-06-14 14:00:00,2
168,168,,48.383,0.0003247261,-4.495,,,24.233725,6.4422607,0.19165845,101719.625,101485.87,6.4422607,2.899826,,1,1980-08-28 21:00:00,2
169,169,,48.383,0.00010347366,-4.495,,,99.192245,1.5798492,-0.038804173,99084.19,98853.08,-1.5798492,9.76265,,1,1980-10-10 20:00:00,1
170,170,,48.383,4.7683716e-05,-4.495,,,107.72842,4.590042,-0.48173037,98893.19,98660.7,-4.590042,14.35791,,1,1980-12-20 05:00:00,1
