station,n_years,annual_max,annual_max_year,c,loc,scale,ks_D,ks_p,lat,lon,status
476,25,1.999792456626892,2022.0,1.2093487380931944,1.975884804702729,0.028912688685257856,0.1967791811644276,0.2525353767613512,54.47394247,9.02585594,ok
477,25,1.999653935432434,2022.0,1.0392624935191996,1.9644443251517416,0.036592027376151706,0.20652243454951102,0.20588150080494394,54.26591826,8.84211831,ok
478,25,1.999642014503479,2011.0,0.7065340747011566,1.9869438541511344,0.009332432886637997,0.10220820738589842,0.9327364890629827,54.26586489,8.84958039,ok
479,25,1.9986639022827148,2020.0,1.0160771641164672,1.7972507830725584,0.20465127098290775,0.14604176915485217,0.6090570737216547,54.18052298,7.89080439,ok
48,45,1.587490439414978,1963.0,0.22656081348710944,0.7300226093797975,0.2787325279668952,0.11765937600075704,0.5234495587230716,45.568432,-1.06148,ok
480,0,,,,,,,,54.17660084,7.89521349,skipped (<20 years)
481,25,1.999922513961792,2023.0,1.2260282720939089,1.9633171060899224,0.04487926496244107,0.17744992087896216,0.36689082442839405,54.1233805,8.86015778,ok
486,25,1.9998615980148315,2001.0,1.285235973271059,1.9897281494958765,0.013023872569851347,0.1018560358999856,0.9343834985676063,54.31632455,8.95122149,ok
49,38,1.232085943222046,2010.0,0.048153327030569244,0.7003559715863314,0.136824661070511,0.08150465944305263,0.944597583316219,46.497501,-1.7938,ok
492,35,1.9897605180740356,1998.0,0.8619456717646834,1.5481007213411133,0.38379699314661136,0.1385478660691689,0.4709097338172412,54.033298,-2.9166701,ok
494,35,1.8504773378372192,2020.0,0.19224681551276757,1.0674150890061496,0.23380295100645393,0.11162252997434807,0.7341911299229147,54.483299,-0.61667001,ok
495,33,1.8620458841323853,1998.0,0.20051245197109446,1.2892841779510393,0.2531725270116654,0.11917921049175262,0.6924572904811106,54.650002,-3.5666699,ok
496,21,1.226951003074646,1998.0,0.5271957953541948,0.8820440031080585,0.2093152252997869,0.14745473086432892,0.69742769145997,54.0854,-4.7680998,ok
498,13,1.9583934545516968,2015.0,,,,,,54.282497,-0.3902857,skipped (<20 years)
499,11,0.8056036233901978,2014.0,,,,,,54.916698,9.7833004,skipped (<20 years)
5,56,1.4832123517990112,1965.0,0.20744319611174544,0.7334298342525962,0.2096117782506418,0.07310542794354004,0.9043236636579297,47.140383,-2.24635,ok
50,36,1.9769004583358765,1995.0,0.1966640384498079,1.2706552348612101,0.24776767652822954,0.07861275855694155,0.9664910198889777,47.277222,-1.8898,ok
500,11,1.9977349042892456,2020.0,,,,,,54.1222,8.8591995,skipped (<20 years)
501,11,1.9990544319152832,2015.0,,,,,,54.730999,8.6870003,skipped (<20 years)
502,11,0.823297917842865,2014.0,,,,,,54.474998,9.8369999,skipped (<20 years)
503,11,1.9968081712722778,2016.0,,,,,,54.265999,8.842,skipped (<20 years)
504,11,0.8762094378471375,2014.0,,,,,,54.796001,9.434,skipped (<20 years)
505,11,1.976871371269226,2015.0,,,,,,54.178902,7.8899999,skipped (<20 years)
506,11,1.9965533018112183,2016.0,,,,,,54.757999,8.2959995,skipped (<20 years)
507,11,1.9986324310302734,2022.0,,,,,,54.472,9.0249996,skipped (<20 years)
508,11,0.867107629776001,2014.0,,,,,,54.82333,9.6549997,skipped (<20 years)
509,11,1.990866780281067,2020.0,,,,,,54.966702,8.6660004,skipped (<20 years)
